City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
London,51.5085,-0.1257,279.26,81,0,3.09,GB,1612403640
Rawson,-43.3002,-65.1023,295.47,49,13,5.63,AR,1612404131
Hamilton,39.1834,-84.5333,270.37,86,1,0.6,US,1612404122
Kitgum,3.2783,32.8867,293.71,41,69,1.59,UG,1612404132
Duekoué,6.7472,-7.3496,296.43,86,4,1.03,CI,1612404132
Bowen,-20.0167,148.2333,302.15,70,8,6.17,AU,1612404132
Xucheng,20.35,110.1288,294.15,83,75,4.0,CN,1612404133
Norsup,-16.0667,167.3833,302.77,67,100,4.27,VU,1612404133
Jūrmala,56.968,23.7704,270.15,80,90,5.66,LV,1612403923
Prachuap Khiri Khan,12.2167,99.75,297.15,83,20,1.19,TH,1612404133
Torbay,47.6666,-52.7314,282.15,100,90,8.23,CA,1612404133
Hasaki,35.7333,140.8333,283.15,50,20,5.66,JP,1612404134
Sardulgarh,29.7,75.25,285.88,68,99,0.69,IN,1612404134
Tulun,54.5611,100.5792,264.87,96,82,3.99,RU,1612404134
Narsimhapur,22.95,79.2,287.97,33,0,2.03,IN,1612403909
Atherton,53.5237,-2.4935,278.71,89,100,1.34,GB,1612404135
Bichura,50.5881,107.6022,262.3,88,98,1.86,RU,1612404135
Namatanai,-3.6667,152.4333,302.65,67,92,2.96,PG,1612404135
Inírida,3.8653,-67.9239,297.77,89,100,0.87,CO,1612404136
Sabang,5.8933,95.3214,300.72,76,18,10.36,ID,1612404136
Flin Flon,54.7682,-101.865,254.4,92,100,4.18,CA,1612404136
Ginir,7.1333,40.7,284.56,42,0,1.78,ET,1612404136
Edd,13.9297,41.6925,297.38,40,0,7.75,ER,1612404136
Novyy Starodub,48.5158,33.1733,275.15,100,90,4.0,UA,1612404137
Kiryat Gat,31.61,34.7642,288.71,73,32,4.45,IL,1612404137
Sioux Lookout,50.1001,-91.917,272.15,74,90,2.06,CA,1612404137
Fairview,40.8126,-73.999,274.15,60,90,5.66,US,1612404006
Kuminskiy,58.6667,66.5667,255.83,93,31,2.6,RU,1612404138
Nantucket,41.2835,-70.0995,274.15,80,90,3.09,US,1612403930
Taoudenni,22.6783,-3.9836,292.31,24,0,2.66,ML,1612404138
Toora-Khem,52.4675,96.11,264.05,94,100,1.93,RU,1612404138
Teo,42.75,-8.5,283.15,87,75,5.14,ES,1612404138
Chapais,49.7834,-74.8492,266.15,53,75,4.63,CA,1612404139
Faanui,-16.4833,-151.75,299.91,76,98,7.66,PF,1612404075
Zhigansk,66.7697,123.3711,232.41,79,50,4.08,RU,1612404139
Honolulu,21.3069,-157.8583,296.15,78,90,7.2,US,1612404068
Luís Correia,-2.8792,-41.6669,299.75,76,40,6.45,BR,1612404140
Gornopravdinsk,60.05,69.9,256.9,94,98,2.77,RU,1612404140
Jackson,42.4165,-122.8345,281.15,53,20,2.57,US,1612404046
Mananjary,-21.2167,48.3333,297.98,87,11,0.54,MG,1612404141
Srednekolymsk,67.45,153.6833,244.98,87,35,1.39,RU,1612404141
Kamphaeng Phet,16.25,99.5,301.69,37,1,3.74,TH,1612404141
Seabra,-12.4186,-41.7703,293.32,82,62,2.55,BR,1612404101
Ilulissat,69.2167,-51.1,252.15,41,37,4.63,GL,1612404142
Kommunisticheskiy,61.6789,64.4819,256.1,93,0,2.63,RU,1612404142
Souillac,-20.5167,57.5167,299.15,83,40,1.54,MU,1612404143
Katherine,-14.4667,132.2667,304.15,66,40,4.63,AU,1612404143
Krásná Lípa,50.4838,13.3575,279.82,92,100,11.62,CZ,1612404143
Yārāda,17.65,83.2667,288.15,88,0,1.03,IN,1612404143
Pajapita,14.7167,-92.0333,298.15,88,20,1.54,GT,1612404144
Teror,28.0606,-15.5491,289.15,77,40,3.09,ES,1612404144
Oranjestad,12.524,-70.027,299.15,83,20,8.23,AW,1612404144
Lompoc,34.6391,-120.4579,285.15,71,1,5.66,US,1612404145
Kamenka,51.3223,42.7678,275.93,97,100,0.45,RU,1612404145
Fortuna,40.5982,-124.1573,282.04,81,1,4.12,US,1612404100
Atar,20.5169,-13.0499,291.89,24,100,0.75,MR,1612404145
Griffith,41.5284,-87.4237,270.15,80,1,2.06,US,1612404145
Batagay-Alyta,67.8006,130.4114,234.68,71,28,0.55,RU,1612404146
Ferme-Neuve,46.7001,-75.4493,271.15,50,90,5.66,CA,1612404146
Manassas,38.751,-77.4753,274.82,45,7,0.45,US,1612404146
Ranong,9.9658,98.6348,300.15,78,40,2.06,TH,1612404146
Chīpurupalle,18.3,83.5667,291.22,63,0,2.17,IN,1612404147
Hays,30.0502,-98.0336,291.48,67,71,1.34,US,1612404147
Moramanga,-18.9333,48.2,291.89,96,95,0.78,MG,1612404147
Ponta do Sol,32.6667,-17.1,284.26,70,48,1.79,PT,1612404147
Jaca,42.569,-0.5499,282.15,81,0,1.03,ES,1612404148
Kajaani,64.2273,27.7285,247.15,84,20,1.03,FI,1612404148
Muli,2.9167,73.5667,300.7,78,100,7.49,MV,1612404148
Tilichiki,60.4667,166.1,266.28,97,58,4.85,RU,1612404148
Turgoyak,55.15,60.1183,262.01,95,94,2.27,RU,1612404149
Hare Bay,48.8499,-54.0148,280.15,100,100,3.09,CA,1612404149
Kumul,42.8,93.45,270.6,81,12,1.82,CN,1612404150
Ulladulla,-35.35,150.4667,301.15,54,20,5.14,AU,1612404150
Florianópolis,-27.6146,-48.5012,301.15,83,75,2.06,BR,1612403933
Mandalgovi,45.7625,106.2708,263.01,80,0,6.3,MN,1612404150
Manzhouli,49.6,117.4333,253.78,91,91,0.65,CN,1612404152
Morondava,-20.2833,44.2833,301.01,84,47,3.14,MG,1612404152
Ribeirão das Neves,-19.7669,-44.0867,299.15,50,0,3.09,BR,1612404152
Warah,27.4481,67.7978,286.12,35,0,3.74,PK,1612404152
Kupang,-10.1667,123.5833,298.15,100,75,5.14,ID,1612404153
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,294.26,93,54,0.89,AR,1612404153
Solnechnyy,50.7214,136.6319,246.59,80,22,1.48,RU,1612404153
Kiruna,67.8557,20.2251,264.15,86,0,5.14,SE,1612404153
Presque Isle,46.6811,-68.0159,272.15,93,90,5.66,US,1612404153
Alta Floresta,-9.8756,-56.0861,296.48,89,100,0.93,BR,1612404154
Port Blair,11.6667,92.75,300.31,72,27,6.22,IN,1612404154
Carbondale,37.7273,-89.2168,275.15,69,1,2.57,US,1612404123
Tazmalt,36.3868,4.3989,286.86,44,100,2.95,DZ,1612404154
Talaya,61.3833,152.75,244.6,84,100,4.42,RU,1612404155
Shenjiamen,29.9576,122.298,282.96,80,0,5.76,CN,1612404155
Caravelas,-17.7125,-39.2481,297.53,87,43,2.58,BR,1612404155
Novovasylivka,46.8315,35.7536,280.35,94,91,2.86,UA,1612404156
Borogontsy,62.6683,131.1683,231.35,77,0,1.24,RU,1612404156
Chachoengsao,13.6167,101.4167,303.15,64,8,5.31,TH,1612404156
Bilma,18.6853,12.9164,288.27,34,0,6.32,NE,1612404156
Gubkinskiy,64.434,76.5026,256.37,93,100,3.76,RU,1612404156
Constitución,-35.3333,-72.4167,291.59,62,0,3.6,CL,1612404157
Emba,48.8264,58.1442,270.48,97,100,2.6,KZ,1612404157
Wanaka,-44.7,169.15,291.35,55,69,1.91,NZ,1612404157
Chai Badan,15.2,101.1333,302.59,37,0,7.14,TH,1612404157
Malayal,7.208,121.942,303.15,66,75,1.54,PH,1612404158
Villa Corzo,16.1667,-93.25,292.15,63,1,6.17,MX,1612404158
Saquarema,-22.92,-42.5103,300.15,74,0,2.57,BR,1612404158
Hīt,33.6416,42.8251,286.99,42,100,2.59,IQ,1612404158
Victoria Point,-27.5833,153.3,302.59,63,0,2.68,AU,1612404158
Samarai,-10.6167,150.6667,302.19,71,99,4.85,PG,1612404159
Zhuhai,22.2769,113.5678,294.82,68,0,2.57,CN,1612404159
Iqaluit,63.7506,-68.5145,253.15,71,90,1.54,CA,1612404159
Lithakia,37.7167,20.8333,281.15,93,20,0.51,GR,1612404159
Quba,41.3626,48.5152,281.19,51,100,1.76,AZ,1612404160
Khudumelapye,-23.8833,24.75,291.94,91,95,2.69,BW,1612404160
Belmonte,-15.8631,-38.8828,299.15,73,40,4.12,BR,1612404160
São Filipe,14.8961,-24.4956,295.41,78,97,4.28,CV,1612404160
Sistranda,63.7256,8.834,264.15,73,20,4.63,NO,1612404161
Mersing,2.4312,103.8405,299.15,83,40,5.14,MY,1612404161
Jinka,5.65,36.65,290.75,36,0,1.36,ET,1612404161
Bandar-e Lengeh,26.5579,54.8807,291.68,60,0,1.3,IR,1612404161
Lata,40.1629,-8.3327,284.82,95,100,1.61,PT,1612404162
Puerto Escondido,15.85,-97.0667,298.5,76,11,1.83,MX,1612404126
Beduido,40.7643,-8.5611,284.26,91,100,0.45,PT,1612404162
Petropavlovsk-Kamchatskiy,53.0452,158.6483,265.15,41,100,8.0,RU,1612403905
Chui,-33.6971,-53.4616,293.18,93,97,6.22,UY,1612404162
Sīrjān,29.452,55.6814,279.33,50,0,2.83,IR,1612404163
Zhanakorgan,43.9098,67.2495,274.86,75,100,2.0,KZ,1612404163
Maryville,35.7565,-83.9705,275.15,48,40,1.15,US,1612404101
Nichinan,31.6,131.3667,285.15,50,20,6.17,JP,1612404164
Thinadhoo,0.5333,72.9333,301.08,76,100,4.31,MV,1612404057
Ust-Kuyga,70.0167,135.6,234.1,79,66,2.21,RU,1612404112
Dubbo,-32.25,148.6167,303.15,42,40,7.72,AU,1612404164
El Rosario,24.2556,-107.1828,295.15,64,75,1.54,MX,1612404165
Xam Nua,20.4197,104.0439,289.89,77,40,1.04,LA,1612404165
Aranda de Duero,41.6704,-3.6892,281.19,90,99,1.96,ES,1612404124
Mayo,38.8876,-76.5119,277.15,52,20,4.12,US,1612404166
Dashitou,43.3067,128.5114,254.98,79,55,7.24,CN,1612404166
Berezniki,59.4152,56.8124,259.82,83,100,2.02,RU,1612404166
Janaúba,-15.8025,-43.3089,296.26,73,63,2.85,BR,1612404166
Santa Helena,-2.2311,-45.3,296.03,97,1,1.27,BR,1612404167
Sal Rei,16.1833,-22.9167,294.15,78,75,7.2,CV,1612404167
Coroatá,-4.13,-44.1242,297.15,88,34,1.39,BR,1612404167
Severodvinsk,64.5635,39.8302,258.15,85,40,4.0,RU,1612404167
Vila Velha,-20.3297,-40.2925,299.15,83,20,3.6,BR,1612404168
Vrhnika,45.9661,14.2956,282.59,94,100,0.89,SI,1612404168
Jefferson City,38.5767,-92.1735,281.15,46,1,5.14,US,1612404168
Faya,18.3851,42.4509,286.15,35,0,1.6,SA,1612404168
Trelew,-43.249,-65.3051,296.0,46,54,7.19,AR,1612404090
Roebourne,-20.7833,117.1333,302.61,73,14,8.18,AU,1612404169
Darfo,45.8779,10.1812,279.82,90,100,1.39,IT,1612404169
Sorong,-0.8833,131.25,302.36,71,99,5.15,ID,1612404169
Xining,36.6167,101.7667,269.73,64,100,0.9,CN,1612403952
Bintulu,3.1667,113.0333,299.15,94,40,1.03,MY,1612404052
Mapua,-41.25,173.1,294.82,64,10,0.89,NZ,1612404171
Jati,24.3539,68.2671,288.65,54,0,3.4,PK,1612404171
Cravo Norte,6.3017,-70.2041,302.57,43,0,2.15,CO,1612404172
Tingo María,-9.2895,-76.0088,295.04,84,100,1.0,PE,1612404172
Eau Claire,44.8114,-91.4985,274.15,47,1,7.2,US,1612403939
Yumen,40.2833,97.2,270.21,68,19,10.46,CN,1612404173
Verkhnevilyuysk,63.4453,120.3167,242.58,86,100,2.55,RU,1612404173
Kismayo,-0.3582,42.5454,297.07,85,51,5.19,SO,1612404174
Znamenka,52.4167,41.4311,274.32,98,100,4.54,RU,1612404174
Lima,-12.0432,-77.0282,298.15,78,0,2.57,PE,1612403405
Taupo,-38.6833,176.0833,300.93,41,0,1.34,NZ,1612404084
Caraga,9.0,125.7417,298.75,69,98,2.16,PH,1612404176
Whitehorse,60.7161,-135.0538,253.15,77,20,1.03,CA,1612404007
Santa Cruz de la Sierra,-17.8,-63.1667,298.15,83,75,6.69,BO,1612404006
Tortolì,39.9256,9.6572,287.04,88,0,5.14,IT,1612404177
Flinders,-34.5833,150.8552,301.48,65,46,2.24,AU,1612404177
Myitkyina,25.3833,97.4,289.91,46,0,1.31,MM,1612404177
